_id,Source,Source_ID,Location,Artist,Title,Medium,ArtForm,Status,ImageName,ImageURL,ThumbURL,ImageAltText,WARD,WARD_FULLNAME,YEAR_INSTALLED,Description,OwnedBy,CommissionedBy,PublicArtConsultant,ImageOrientation,ExternalLink,ExternalLinkText,geometry
353,Percent for Public Art - Private Developer Program,3102,"10 Bellair Street, No. 10 Bellair Residences","Reitzenstein, Reinhard",The Festival Walkway,Bronze,None,Existing,FestivalWalkway2.jpg,https://www.toronto.ca/ext/pln/publicart/FestivalWalkway2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/FestivalWalkway2.jpg,Image of artwork: The Festival Walkway,11,University-Rosedale,2003,None,None,"Tridel, Brookfield Developments",None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.390982, 43.669886]]}"
354,Percent for Public Art - Private Developer Program,4100,"15 Barberry Place, Amica Bayview Village","Clark Espinal, Panya",The Jack Pine Remembered,"Aluminum, Steel ",None,Existing,JackPine9.jpg,https://www.toronto.ca/ext/pln/publicart/JackPine9.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/JackPine9.jpg,Image of artwork: The Jack Pine Remembered,17,Don Valley North,2004,None,None,"The Daniels Corporation, Amica Mature Lifestyles",None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38404, 43.766412]]}"
355,Percent for Public Art Commissions Donated to the City,89150,14 Temperance Street,"Priest, Margaret",The Monument to Construction Workers,"Mixed Media: Aggregates of Bronze Pipe, Granite, Brickwork, Etched Glass",None,Existing,constructionworkers.jpg,https://www.toronto.ca/ext/pln/publicart/constructionworkers.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/constructionworkers.jpg,"A photo of the art instalation of metal framed planels that include design features inside the panels of lines, squares and shapes with three dimensional elements between two buildings on a raised area above a path with railing and seating. ",13,Toronto Centre,1993,None,None,Markborough Properties,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.380064, 43.65111]]}"
356,Percent for Public Art - Private Developer Program,98069,"10 Capreol Court, CityPlace, Parade 1 Condominium","Parla, Jose",The Names that Live and Sometimes Fade While Time Flies,None,None,Existing,Parla_The_Names.jpg,https://www.toronto.ca/ext/pln/publicart/Parla_The_Names.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Parla_The_Names.jpg,"Photo of murals on two walls painted with colours of copper, yellow, white, brown and red. Located in the lobby of the condominium.",10,Spadina-Fort York,2011,"The Names that Live and Sometimes Fade While Time Flies is the title of one of two murals painted by Brooklyn, NY-based artist JosÃ© ParlÃ¡ at CityPlace - this one located in the north lobby of the Parade 1 condominium. The artist explains that the painting is an homage to friends, writers, artists, and collaborators who have worked with or influenced him throughout his career. Some of the names he knows like family, others he may have read about in books, some are still with us while others are dearly departed. This expansive work measures a staggering 66' X 16'.",None,Concord Adex Development Corporation,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.395873, 43.64026]]}"
357,Percent for Public Art Commissions Donated to the City,089150 (H),215 King Street West,"Miller, Bernie","The Poet, The Fever Hospital","Bronze, Granite, Steel, Marble",None,Existing,poetfeverhospital.jpg,https://www.toronto.ca/ext/pln/publicart/poetfeverhospital.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/poetfeverhospital.jpg,"Image of artwork: The Poet, The Fever Hospital",10,Spadina-Fort York,1992,None,None,Marathon Realty Company Limited,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.387564, 43.646942]]}"
358,Public Art & Monuments Collection - City-Owned,22,25 Queens Quay West,T-Zero Design (Paul De Figueiredo and Jonathan Fung),The Sundial Folly,"Metal, Stone, Water",Sculpture,Existing,sundialfolly.jpg,https://www.toronto.ca/ext/pln/publicart/sundialfolly.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/sundialfolly.jpg,Image of artwork: The Sundial Folly,10,Spadina-Fort York,1995,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.378622, 43.638578]]}"
359,Percent for Public Art Commissions Donated to the City,98069,Canoe Landing Park,"Coupland, Douglas",The Terry Fox Miracle Mile, ,None,Existing,TerryFox.jpg,https://www.toronto.ca/ext/pln/publicart/TerryFox.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TerryFox.jpg,Image of artwork: The Terry Fox Miracle Mile,10,Spadina-Fort York,2009,"This one-mile run is a monument to Canadian athlete Terry Fox. At the age of 18, Terry lost his leg to cancer. Believing that the only thing that can provide hope to a person with cancer is research, he decided to raise money by running a ""Marathon of Hope"" - one marathon (26.2 miles) a day, from St. John's, NL, to Vancouver, B.C.  Between April 12 and September 1, 1980, Terry made it two-thirds of the way across Canada - 3,339 miles, close to 143 marathons in a row - before his cancer returned and stopped the run. Nobody in recorded history has ever run as many consecutive marathons. Terry died within the year, on June 28, 1981. Partly because of the money he raised, and the money the Terry Fox Foundation raises annually with its run, Terry would not only be alive today were he to have the same cancer, but he would also have his leg. If there's a miracle to Terry's run, it is the miracle of perseverance, courage and grace in the face of unthinkable odds. Two laps of this park (marked with maple leaves), equals one mile. Please experience it as you will, and along the way, contemplate photos of items from Terry's family's collection and more thoughts about Terry and his 1980 run. - Douglas Coupland",None,Concord Adex Development Corporation ,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.397085, 43.639534]]}"
360,Percent for Public Art - Private Developer Program,2100,2 Queen Street East,"Von Tiesenhausen, Peter",The Watchers - Full Circle,"Cast Iron, Granite",None,Existing,TheWatchersFullCircle.jpg,https://www.toronto.ca/ext/pln/publicart/TheWatchersFullCircle.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TheWatchersFullCircle.jpg,Circle of several bronze coloured statues sitting on a concrete pedastal near a busy street corner.,13,Toronto Centre,2002,None,None,Brookfield Development Corporation,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.378271, 43.652752]]}"
361,Percent for Public Art - Private Developer Program,3066,"210 Victoria Street, Pantages and Opus Condominium Tower","Snow, Michael",The Windows Suite,Light,None,Existing,TheWindowSuite.jpg,https://www.toronto.ca/ext/pln/publicart/TheWindowSuite.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TheWindowSuite.jpg,Image of artwork: The Windows Suite,13,Toronto Centre,2006,None,None,Intracorp Projects Limited,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37920732, 43.65471137]]}"
362,Percent for Public Art - Private Developer Program,97101,"York Street South of Front Street, York Street Teamway","Houle, Robert",The York Teamway,Inlaid Bronze,None,Existing,YorkTeamway.jpg,https://www.toronto.ca/ext/pln/publicart/YorkTeamway.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/YorkTeamway.jpg,Image of artwork: The York Teamway,10,Spadina-Fort York,1997,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.381961, 43.644707]]}"
